shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
泰安國小（育才堂、操場）,臺中市西屯區,True,1944,台中,台中市,45,良好,6114.748858367453,Safe,"水災,震災",24.197845,120.648858
頭家里/頭家東里活動中心,臺中市潭子區,True,120,台中,台中市,45,良好,6152.165308482744,Safe,"水災,震災",24.197913,120.699067
拍瀑拉水裡社公園,臺中市龍井區,True,200,台中,台中市,45,良好,12579.463238099554,Safe,"水災,海嘯",24.198537,120.562822
龍港國小操場,臺中市龍井區,True,100,台中,台中市,45,良好,18412.36154939509,Safe,震災,24.198733,120.500933
大坑國小1.2樓教室、操場,臺中市北屯區,True,625,台中,台中市,45,良好,10505.107894662886,Safe,"水災,土石流",24.1988,120.7607
水裡港文化館,臺中市龍井區,True,20,台中,台中市,45,良好,18723.024857775083,Safe,"水災,震災",24.200778,120.498444
龍津國小操場、綜合教學大樓,臺中市龍井區,True,150,台中,台中市,45,良好,16514.581300400016,Safe,"水災,震災,海嘯",24.201067,120.521677
潭陽社區活動中心,臺中市潭子區,True,200,台中,台中市,45,良好,6675.9267156716305,Safe,"水災,震災",24.201197,120.703471
麗水社區活動中心,臺中市龍井區,True,60,台中,台中市,45,良好,18518.56973851928,Safe,"水災,震災",24.2022,120.5011
臺中市東勢區慶東社區活動中心,臺中市東勢區,True,28,台中,台中市,45,良好,18148.897786421803,Safe,"水災,土石流",24.2023,120.8422
僑忠國小-體育館,臺中市潭子區,True,350,台中,台中市,45,良好,6815.871211774654,Safe,"水災,震災",24.202497,120.70371
新興國小-專科教室,臺中市潭子區,True,50,台中,台中市,45,良好,8180.534893073567,Safe,"水災,震災",24.203989,120.725525
龍津國中操場,臺中市龍井區,True,150,台中,台中市,45,良好,16715.254603091762,Safe,"水災,震災,海嘯",24.204522,120.521049
臺中市東勢區東華國中教室,臺中市東勢區,True,1100,台中,台中市,45,良好,18029.676988404575,Safe,"水災,土石流",24.2054,120.8397
東興國小（一樓課照教室）,臺中市新社區,True,100,台中,台中市,45,良好,16220.504735055694,Safe,"水災,震災,土石流",24.206154,120.820101
臺中市東勢區成功國小,臺中市東勢區,True,1200,台中,台中市,45,良好,18155.117769624223,Safe,"水災,震災",24.208311,120.839784
潭子國中-活動中心,臺中市潭子區,True,230,台中,台中市,45,良好,7792.124875482225,Safe,"水災,震災,土石流",24.210191,120.70836
榮興村辦公處,南投縣仁愛鄉,True,40,台中,台中市,45,良好,63949.16556132125,Safe,"水災,土石流,海嘯",24.210441,121.300253
潭子區運動公園,臺中市潭子區,True,2500,台中,台中市,45,良好,7562.857175790982,Safe,震災,24.21106,120.700706
臺中市大雅區三和公園,臺中市大雅區,True,1580,台中,台中市,45,良好,7182.6914972758905,Safe,震災,24.211845,120.665252
臺中市大雅區大明國小活動中心,臺中市大雅區,True,1191,台中,台中市,45,良好,7627.566741259305,Safe,"水災,震災,土石流",24.2128,120.6499
潭陽國小-業勤樓,臺中市潭子區,True,160,台中,台中市,45,良好,8155.981132122401,Safe,"水災,震災,土石流",24.213042,120.710128
